,Date,Spenditure,Deflactor,Spenditure_real
62,2017-03-01,925851.9,1.0557154980546792,977436.1997333711
63,2017-04-01,1232094.5,1.0544192899147773,1299144.2077979026
64,2017-05-01,1511150.6,1.0556820074454483,1595294.4989603937
65,2017-06-01,2023299.4,1.0530346180821677,2130604.310944879
66,2017-07-01,2349128.9,1.0490676670543488,2464395.1747329487
67,2017-08-01,2633911.4,1.0439092485157095,2749564.4702309603
68,2017-09-01,2910589.2,1.0406529488513694,3028913.233874948
69,2017-10-01,3205896.2,1.0341446739399358,3315360.4804342794
70,2017-11-01,3504355.1,1.023592014997956,3587029.898077364
71,2017-12-01,4064416.5,1.017574705833915,4135847.424374011
72,2018-01-01,376756.7,1.0121969766046772,381351.9926555554
73,2018-02-01,735165.9,1.0083554909301686,741308.5720096193
74,2018-03-01,1071063.5,1.0051043522968557,1076530.5854363034
75,2018-04-01,1410044.8,1.0085235666752006,1422063.41086782
76,2018-05-01,1724741.4,1.0101614139782151,1742267.2113707662
77,2018-06-01,2200529.3,1.0062744742473906,2214336.464423478
78,2018-07-01,2528050.3,1.000909836049157,2530350.4112970224
79,2018-08-01,2842223.6,0.995104087887593,2828308.323050591
80,2018-09-01,3187271.7,0.9909133248114788,3158309.997324534
81,2018-10-01,3515841.1,0.9858044164037855,3465931.683753943
82,2018-11-01,3865798.2,0.9774884411991829,3778773.056508607
83,2018-12-01,4364687.8,0.9706853038245001,4236738.303242089
84,2019-01-01,390193.1,0.9698568491290686,378431.45051790355
85,2019-02-01,696469.9,0.9701297063417379,675666.1395628595
86,2019-03-01,1039723.6,0.9664076694112644,1004796.8611078897
87,2019-04-01,1377432.1,0.965894273212854,1330453.7771295554
88,2019-05-01,1708624.4,0.9686824949386339,1655114.5467050262
89,2019-06-01,2197658.3,0.968063582416093,2127472.966824461
90,2019-07-01,2546667.1,0.964441058184729,2456110.3127682353
91,2019-08-01,2835500.4,0.9645992090286486,2735121.4430404166
